         E0,keV         dE,det1         dE,det2         dE,det3         dE,det4              CF 
        3582.34         785.872         2625.14               0               0                1
        3584.73         861.083         2532.76               0               0                1
        11087.5         353.323         5268.84         5396.05               0                1
         1967.2               0         614.077               0               0                1
         2134.5         1263.94         617.038               0               0                1
        4666.19         653.621         3848.56               0               0                1
        3205.97         969.226         2009.63               0               0                1
         1863.7               0         77.5123               0               0                1
        4694.94         693.544         3863.33               0               0                1
        3373.52         835.888         2340.13               0               0                1
        6512.36               0         6035.35               0               0                1
        2810.16         1127.77         1465.16               0               0                1
        3187.27         946.642         2044.66               0               0                1
        6467.21         484.772         5864.03               0               0                1
        2551.17               0         1465.42               0               0                1
        2559.75         1165.35         1176.66               0               0                1
        3724.89         783.911         2738.47               0               0                1
        2982.42         1073.62         1699.91               0               0                1
         7741.7         400.495          7228.1               0               0                1
        2106.69               0         657.288               0               0                1
        2265.29               0         902.924               0               0                1
        3015.47         1020.34         1783.34               0               0                1
        2587.62         1220.63          1121.9               0               0                1
        2167.71         1705.22         205.836               0               0                1
        8768.42         347.906         7273.07         1056.83               0                1
        2690.43         1127.89         1335.14               0               0                1
        2399.43         1441.68         686.941               0               0                1
        2061.65               0         584.202               0               0                1
        4646.61         623.499          3868.3               0               0                1
        2411.76         1535.46         592.509               0               0                1
        2395.21         1428.24         696.662               0               0                1
        3948.18         832.078         2943.02               0               0                1
        2272.71         1428.22         607.632               0               0                1
        5598.29         526.433         4959.51               0               0                1
        2368.97               0         1254.85               0               0                1
        3008.14         1003.09          1794.5               0               0                1
        2110.58          1329.3         521.637               0               0                1
        3640.12         801.543         2678.13               0               0                1
        3375.34               0         2517.62               0               0                1
           3887         696.763         3023.28               0               0                1
        2592.23         1138.75         1223.61               0               0                1
        5250.16               0         4723.36               0               0                1
         7626.2         496.648         7017.41               0               0                1
        2173.47               0         972.247               0               0                1
        4513.11               0         3929.11               0               0                1
        3214.13         927.784         2077.58               0               0                1
        5936.54         466.889         5358.79               0               0                1
        4374.52         690.958         3534.83               0               0                1
        2056.92               0         636.891               0               0                1
        2843.53          1191.4         1412.92               0               0                1
        3556.95         796.612         2171.26               0               0                1
        2541.53         1159.11         1159.62               0               0                1
        2496.72               0         1465.23               0               0                1
        7777.81          412.32         7260.66               0               0                1
        4500.34               0         3888.14               0               0                1
        4442.96               0         3821.72               0               0                1
         4121.2         840.935         3080.21               0               0                1
         2555.4         1190.39          1148.1               0               0                1
        3972.92               0         3350.28               0               0                1
        2287.85          1498.4         528.161               0               0                1
        6743.67          431.15         6216.27               0               0                1
        2520.86          1477.6         778.692               0               0                1
        3109.04               0         2245.16               0               0                1
        2799.87          1181.5            1374               0               0                1
        2762.68         1183.48          1338.4               0               0                1
         2293.5         1520.85          509.01               0               0                1
        2984.65         970.361         1792.38               0               0                1
        2375.62               0         1284.13               0               0                1
        3001.51          988.16         1829.48               0               0                1
         8496.6         388.938         2438.49               0               0                1
        3131.94               0         2255.67               0               0                1
        2657.37               0         1634.13               0               0                1
        3699.31         831.575          2698.5               0               0                1
        2486.66         1280.52         947.916               0               0                1
        3547.41         866.134         2490.35               0               0                1
        2483.55          1284.4         968.502               0               0                1
        3665.44         851.671         2625.58               0               0                1
        2710.77         1167.57         1291.09               0               0                1
        4706.82         674.755         3888.23               0               0                1
        1903.89               0         336.583               0               0                1
        2280.86         1673.94         326.053               0               0                1
        2378.05         1450.88          656.26               0               0                1
        2814.52               0         1848.25               0               0                1
        5692.74          554.99         5027.93               0               0                1
        2560.97         1173.56         1146.61               0               0                1
        2658.98               0         1698.89               0               0                1
        3201.87         939.832         2051.27               0               0                1
        3611.45         774.858         2675.17               0               0                1
        4253.32          683.86         3397.37               0               0                1
        3212.66          1042.1         1962.52               0               0                1
        15728.7               0         3108.23         12423.4               0                1
        11135.3          336.35         5242.37         5473.32               0                1
        2904.39         1061.12         1628.73               0               0                1
        3488.99         828.166         2486.17               0               0                1
        2726.04               0         1744.86               0               0                1
        3464.69         896.048         2371.34               0               0                1
        4147.23          734.51         3239.95               0               0                1
        4095.25         743.371         3200.46               0               0                1
        2323.46               0         1177.58               0               0                1
         2868.5         1109.26         1524.34               0               0                1
        2610.39         1091.73         1282.52               0               0                1
        8462.67         414.774         7959.15               0               0                1
        3358.84         872.933         2293.26               0               0                1
        2724.05         1154.24         1337.77               0               0                1
        2228.01         1387.72         593.181               0               0                1
        4533.19          645.55          3745.6               0               0                1
        2894.87         981.366         1703.75               0               0                1
        2418.21         1386.66         776.056               0               0                1
        5513.42         596.882         4790.44               0               0                1
        3290.83         924.333         2161.94               0               0                1
        2995.42         1020.07          1734.5               0               0                1
        2772.64               0         1852.41               0               0                1
        2353.37               0         1248.48               0               0                1
        2746.88         1031.87         1502.98               0               0                1
        3235.83         912.587         2123.22               0               0                1
        6687.64         481.229         6102.36               0               0                1
        6689.34         481.748         6094.45               0               0                1
        4573.89          660.05         3756.66               0               0                1
        3212.52         929.484         2099.19               0               0                1
        4892.17               0         4337.84               0               0                1
         3190.6         1020.08         1966.45               0               0                1
        2308.83         1433.59         630.638               0               0                1
        2426.91         1219.58         990.054               0               0                1
         4716.5         639.335         3915.75               0               0                1
           3694         765.006         2746.48               0               0                1
        5418.67         591.491         4701.46               0               0                1
        2363.48         1278.34         846.171               0               0                1
        3720.23          883.19         2641.56               0               0                1
        2849.67               0         1905.97               0               0                1
         2834.6         1017.69         1616.33               0               0                1
        3396.66         887.547         2329.95               0               0                1
        2573.17         1263.56         1052.99               0               0                1
        4950.18         693.736          4086.5               0               0                1
        3820.18         741.484         2882.97               0               0                1
        8993.93         398.385         8491.29               0               0                1
        2642.72         1111.05         1335.16               0               0                1
         2215.6         1603.26         345.407               0               0                1
         2949.6         956.484         1799.61               0               0                1
        2507.46         1182.41         1093.22               0               0                1
        2977.52         1063.78         1681.17               0               0                1
        2883.39         1057.69         1617.35               0               0                1
        4004.89               0         3321.77               0               0                1
        2450.41         1235.25          978.85               0               0                1
        4948.67         603.027         4201.67               0               0                1
        2714.58          1143.4         1342.65               0               0                1
        2569.56               0         1564.48               0               0                1
        3016.82               0         2039.09               0               0                1
        2798.21         1070.96          1504.9               0               0                1
        6899.86         436.544         6340.86               0               0                1
        5088.52         633.994         4293.78               0               0                1
         6636.2               0         6262.76               0               0                1
        4627.33         640.603         3834.14               0               0                1
        3831.77         775.051          2863.5               0               0                1
        2301.39         1376.18         673.943               0               0                1
        4026.41         778.313         3102.92               0               0                1
        2667.02         1142.13         1298.08               0               0                1
        9041.86         396.766         7449.42         1093.13               0                1
        2116.54         1719.83         142.801               0               0                1
        3405.03         837.899         2373.23               0               0                1
        3744.47         918.707         2628.79               0               0                1
        7747.76         447.707         7188.05               0               0                1
        4193.28         754.581         3275.57               0               0                1
        2623.97         1136.43         1263.73               0               0                1
        3374.08         828.163         2366.55               0               0                1
        2229.29               0         1090.24               0               0                1
        4954.93         595.252          4220.3               0               0                1
        2890.07         951.211         1719.61               0               0                1
        5488.37         548.828         4818.12               0               0                1
        2148.56         1398.87         484.338               0               0                1
        2960.01         979.308         1775.41               0               0                1
        2173.65         1237.01         661.321               0               0                1
        2123.22               0         804.817               0               0                1
         5713.1               0          5257.2               0               0                1
        5256.68         529.404          4623.1               0               0                1
        3235.96         880.254         2182.74               0               0                1
        2849.27         988.659         1639.19               0               0                1
        2166.14               0         948.671               0               0                1
         3488.3          825.08         2458.66               0               0                1
        2568.31         1163.94         1160.41               0               0                1
        3586.01         818.689         2561.53               0               0                1
        3236.75         912.475         2122.85               0               0                1
        2776.61               0         1874.82               0               0                1
        6257.29         518.277         5615.96               0               0                1
        2681.51         1242.18          1196.8               0               0                1
        2799.94         1160.22          1406.4               0               0                1
        4466.66               0         3875.74               0               0                1
        2291.99         1465.84         556.483               0               0                1
        6056.46               0         5593.79               0               0                1
        3046.75               0         2162.09               0               0                1
         2467.7         1261.23         973.835               0               0                1
        3316.52         966.166         2140.52               0               0                1
        4748.51         648.004         3950.53               0               0                1
        4815.75         702.454         3966.45               0               0                1
        3919.76         761.959         3008.43               0               0                1
         3289.2         992.219         2088.18               0               0                1
        4114.85         722.888         3212.68               0               0                1
        3540.73         850.212         2454.81               0               0                1
        3033.53         942.154         1898.23               0               0                1
        5753.56         522.164         5099.71               0               0                1
        2343.96               0         1262.78               0               0                1
        5542.29          567.46         4832.73               0               0                1
        7990.43         387.448          7354.3               0               0                1
        3825.05         794.687         2837.89               0               0                1
        2932.39         901.458         1838.66               0               0                1
        4840.24         612.377         4074.56               0               0                1
        2857.79         1078.75         1528.91               0               0                1
        3754.29         915.002         2636.57               0               0                1
        3770.17         787.148         2815.71               0               0                1
        2698.39               0         1712.69               0               0                1
        2576.34         1162.38         1181.82               0               0                1
        3531.65               0         2852.94               0               0                1
        2501.09         1255.62         1010.38               0               0                1
        4432.76         683.365         3588.81               0               0                1
        3755.37         762.124         2836.85               0               0                1
        3439.73         864.756         2382.36               0               0                1
        2616.49               0         1556.17               0               0                1
        5655.59               0         5181.97               0               0                1
         2418.5         1336.37          834.17               0               0                1
        4509.22               0         3983.29               0               0                1
         5418.7         564.321         4698.64               0               0                1
        2261.07         1452.78         576.564               0               0                1
         2669.4         1111.67         1345.83               0               0                1
        3179.51         886.551         2089.36               0               0                1
        2018.86               0         732.824               0               0                1
        2346.75         1385.05          714.32               0               0                1
        2159.81               0         957.232               0               0                1
         3867.2         884.822         2791.44               0               0                1
         2517.8               0         1462.06               0               0                1
        5573.12          523.99         4911.86               0               0                1
        3247.53         993.299         2031.78               0               0                1
        3632.57         808.497         2646.19               0               0                1
        2295.46         1503.03         536.151               0               0                1
         9986.7         367.902         6744.07         2788.56               0                1
        2332.02         1559.03         506.474               0               0                1
         2256.2         1648.55         338.751               0               0                1
           2373         1350.16         768.123               0               0                1
        2383.26         1292.06         857.522               0               0                1
        3665.59         893.839         2586.29               0               0                1
        2075.08               0         718.376               0               0                1
        5096.56         677.709          4227.8               0               0                1
        8531.73         425.083         8022.98               0               0                1
        2196.23         1480.33         451.831               0               0                1
        3155.07         844.388         2117.02               0               0                1
        3405.46         860.331         2362.84               0               0                1
        2922.81               0         2041.22               0               0                1
        5020.25         656.528         7.97331               0               0                1
        4306.98         617.404            3533               0               0                1
        4096.07               0         3433.88               0               0                1
        3990.15               0         3276.81               0               0                1
         5568.9               0         5034.16               0               0                1
        2064.22               0         746.483               0               0                1
        2194.67         1225.93         718.119               0               0                1
        45176.6               0          1392.7         43673.8               0                1
         3122.1         995.333          1905.8               0               0                1
        5502.84         582.464         4769.35               0               0                1
