         E0,keV         dE,det1         dE,det2         dE,det3         dE,det4              CF 
          251.7               0         60.4367               0               0                1
        190.108         33.4155         152.403               0               0                1
         368.69         13.5821         353.482               0               0                1
        760.429         9.31797         457.595         288.978               0                1
        178.492         47.4456         127.535               0               0                1
        263.999         17.7843          88.373               0               0                1
        193.554               0         24.0881               0               0                1
        99.9169               0         75.5413               0               0                1
        241.283          40.362         20.8758               0               0                1
        220.846         15.4213         202.968               0               0                1
        545.388         69.0554          472.49               0               0                1
        323.015               0         15.9896               0               0                1
        687.232         22.6623         199.487         462.356               0                1
        625.813         32.8864         589.377               0               0                1
        329.301               0           316.6               0               0                1
        369.453         16.7188         105.579               0               0                1
        154.177         26.5697         116.847               0               0                1
        219.036               0         50.6574               0               0                1
        273.271          24.445         209.853               0               0                1
        1018.84         36.2955           152.4         747.174               0                1
        170.425         33.5232         132.219               0               0                1
        162.266         28.1078         129.392               0               0                1
        131.136         28.5245         96.3117               0               0                1
        258.039               0         79.3426               0               0                1
        215.916         26.8649         186.731               0               0                1
         125.46         77.0428         29.5818               0               0                1
        412.114         14.6348         181.724               0               0                1
        256.754         15.0906         237.401               0               0                1
        96.6849               0         26.5965               0               0                1
        579.485               0         456.654         90.7553               0                1
        407.268               0         397.327               0               0                1
        277.498         12.8002          152.53               0               0                1
        316.972         16.1327         75.1477               0               0                1
        131.451               0         24.8626               0               0                1
        201.213               0         187.385               0               0                1
        207.645               0         134.437               0               0                1
        308.585         8.20762         295.132               0               0                1
        982.753         5.36945         181.542         216.538               0                1
        707.379         16.9593         349.684               0               0                1
        197.649         33.0394          153.11               0               0                1
        549.086               0         541.538               0               0                1
        506.622               0         19.3471          100.58               0                0
        226.732               0         71.4391               0               0                1
         404.07               0         149.199               0               0                1
        173.712          24.915         144.672               0               0                1
        431.994         11.2764         413.987               0               0                1
        334.057         14.4874         109.973               0               0                1
        585.912               0          575.96               0               0                1
        136.925         47.6133          85.597               0               0                1
        351.886         10.5615         331.888               0               0                1
        256.136         81.2458          52.826               0               0                1
        120.183               0         34.8812               0               0                1
        136.711         25.8809         103.334               0               0                1
        346.366         13.6708         330.869               0               0                1
        210.689         32.2985         160.202               0               0                1
        467.947               0          460.79               0               0                1
        217.419         24.7519         122.663               0               0                1
        150.249         62.6524         80.4474               0               0                1
         168.32               0         126.962               0               0                1
         629.49         17.7056         166.597         439.655               0                1
        105.005               0         77.3793               0               0                1
        131.226               0         101.803               0               0                1
        567.382         11.1881         212.247         340.482               0                1
        456.314               0         447.295               0               0                1
        344.293         14.7203         20.3339         56.8141               0                1
        298.798         19.5164         74.0209               0               0                1
        285.187         18.3495         262.157               0               0                1
        274.849               0         263.106               0               0                1
        238.275         25.0258           143.5               0               0                1
        143.376         66.4373         20.6396               0               0                1
        160.767               0         142.965               0               0                1
         143.05         37.0815         101.795               0               0                1
        318.115               0         302.683               0               0                1
        241.045               0         228.883               0               0                1
        241.837         26.4472         212.135               0               0                1
        369.329         14.4649         352.247               0               0                1
          246.3         12.7912         200.374               0               0                1
        336.879               0         325.894               0               0                1
         544.24               0         509.137               0               0                1
        296.563               0         280.351               0               0                1
        146.918         43.3789         77.9853               0               0                1
        237.855         15.7603         214.977               0               0                1
         133.81               0         87.5476               0               0                1
        249.101               0          226.42               0               0                1
        164.191               0         145.747               0               0                1
        324.579           101.9         218.839               0               0                1
        407.895         14.3959         391.206               0               0                1
        265.537         32.0552         160.876               0               0                1
        205.272         15.4233         181.766               0               0                1
         185.57               0         167.556               0               0                1
        198.179         20.2892          172.66               0               0                1
        400.391         9.09494         387.976               0               0                1
        335.667         22.6442          310.03               0               0                1
        232.662         58.5443         105.874               0               0                1
        607.509         11.0855         591.535               0               0                1
        118.963               0         23.4485               0               0                1
        90.9895               0         28.2398               0               0                1
        299.291         24.9984         271.163               0               0                1
          183.7         42.1227        0.530218           1.302               0                1
        176.491          28.217         145.046               0               0                1
        544.945         11.6161         530.913               0               0                1
         425.02         24.2737         221.724               0               0                1
