         E0,keV         dE,det1         dE,det2         dE,det3         dE,det4              CF 
        121.855               0          102.26               0               0                1
        244.391         39.0185         149.721               0               0                1
        737.826         34.5185         9.98374               0               0                1
        487.754         22.7683         91.7776               0               0                1
        219.934               0         206.851               0               0                1
        332.875         21.3461         309.403               0               0                1
        139.967         36.7087         99.1286               0               0                1
        144.688               0         123.805               0               0                1
        342.947         45.2105         274.893               0               0                1
          168.2         25.2668         136.603               0               0                1
        161.067               0         132.737               0               0                1
        181.385          100.84         76.1704               0               0                1
        927.247         6.90249         376.131         182.452               0                1
        233.054         20.9827         142.357               0               0                1
        280.925         14.3493          249.55               0               0                1
        203.201         17.2862         181.932               0               0                1
        100.696               0         35.5441               0               0                1
        366.619               0         356.587               0               0                1
        384.501               0         373.935               0               0                1
        265.098         27.9661         117.088               0               0                1
        201.451               0         79.5833               0               0                1
         287.93               0         116.021               0               0                1
        196.832         30.4029         74.6936               0               0                1
        174.393               0         156.054               0               0                1
        145.888               0         55.2119               0               0                1
        399.228          24.416         371.304               0               0                1
        177.337         17.9871         71.3613               0               0                1
        243.897         28.4413         184.391               0               0                1
        455.062         24.2543         425.544               0               0                1
        214.424         41.2085         170.065               0               0                1
        183.012         25.8154         153.919               0               0                1
        503.229         23.1867         476.461               0               0                1
        372.202         12.9496         356.946               0               0                1
        167.172         31.5267         124.077               0               0                1
        206.465         29.9705         172.803               0               0                1
        149.964           41.87         103.116               0               0                1
        331.645         15.5985         312.162               0               0                1
        425.909         19.8489         128.598               0               0                1
        248.863          15.619         230.692               0               0                1
        328.065         14.8528         310.351               0               0                1
        243.851         24.2733         28.7394               0               0                1
        509.567         22.5431         286.502               0               0                1
        165.472         22.7294         138.031               0               0                1
        310.182         13.9038         292.144               0               0                1
        465.186         11.3122          157.79               0               0                1
        539.431         11.6915         312.253         110.923               0                1
        155.239         38.3995         110.564               0               0                1
        275.875         14.1233         250.605               0               0                1
        278.615               0         145.871               0               0                1
        407.592         28.5814         235.134               0               0                1
        322.284               0         309.369               0               0                1
        428.798         11.2315         413.843               0               0                1
        215.733          22.428         188.831               0               0                1
        919.814          12.169         246.264               0               0                1
        394.548         13.9889         242.614               0               0                1
        290.568         15.0449         272.169               0               0                1
        337.815               0         86.7797               0               0                1
        203.114               0         92.0279               0               0                1
        226.039         21.7369         169.838               0               0                1
         303.74         14.2291         286.931               0               0                1
        160.912         52.7727         72.4686               0               0                1
         248.72         17.9843         227.002               0               0                1
         219.55         36.4134          168.87               0               0                1
        195.459         22.6242         167.479               0               0                1
        320.042         32.7615         45.6189               0               0                1
        130.978               0         86.2369               0               0                1
        355.756         16.5121          337.19               0               0                1
         90.462               0         18.6806               0               0                1
        343.178         16.6733         322.614               0               0                1
        308.932               0         299.025               0               0                1
        245.831          26.554          88.972               0               0                1
        678.958               0         669.399               0               0                1
        216.917         17.1973         193.556               0               0                1
        367.138               0         63.5531               0               0                1
        178.806               0         155.661               0               0                1
        363.233         13.7406         344.223               0               0                1
        195.034               0         27.2535               0               0                1
         314.38         40.2847         106.832               0               0                1
        485.791         18.4185         370.307               0               0                1
         178.73               0         135.753               0               0                1
        198.599         61.9138         12.1936               0               0                1
        193.059         47.4291         140.077               0               0                1
        305.247          11.902         291.157               0               0                1
        164.114         54.1349         104.802               0               0                1
        133.236         27.1572         97.0995               0               0                1
        151.374               0          24.598               0               0                1
        218.363         32.4014         179.124               0               0                1
        234.158         27.1579         198.265               0               0                1
        170.842         23.7203         136.684               0               0                1
        141.464               0         122.367               0               0                1
        224.163               0          212.65               0               0                1
        585.701               0         537.954               0               0                1
        315.271          19.118         278.892               0               0                1
        180.424         28.3932         116.319               0               0                1
        99.3227         47.2007         46.4478               0               0                1
        297.608         15.2229         277.048               0               0                1
        244.804         30.0794         26.4122               0               0                1
         2320.1         7.38567         176.157          2134.8               0                1
        175.952               0         136.334               0               0                1
        234.723         27.6235         203.997               0               0                1
        160.789               0           147.2               0               0                1
        199.857               0         33.4893        0.076841               0                1
        173.864         24.8987         142.781               0               0                1
        94.3803               0         27.5078               0               0                1
        138.595         32.2874         101.591               0               0                1
         755.77         50.0243         174.687         529.284               0                1
        312.868               0         266.265               0               0                1
        208.927         18.3781         186.632               0               0                1
        367.496          30.707         333.349               0               0                1
        140.226         25.0383         108.782               0               0                1
        239.495         38.7332         197.087               0               0                1
        330.452               0         106.568         16.2256               0                1
        199.464         97.2898         88.4901               0               0                1
        108.549               0         81.4365               0               0                1
         315.24               0         302.367               0               0                1
        525.554         16.9514         505.885               0               0                1
        165.452          25.755           103.5               0               0                1
        186.479               0         168.961               0               0                1
         188.06         14.9603         166.448               0               0                1
        252.156         20.7633         124.539               0               0                1
        534.846               0         386.397               0               0                1
        118.011               0         6.57182               0               0                1
        229.596               0         218.882               0               0                1
        207.494         19.4123         182.108               0               0                1
         275.91          21.809         248.606               0               0                1
        770.511               0          210.31         63.3228               0                1
        115.287               0         78.3738               0               0                1
        244.583               0         153.803               0               0                1
        406.043         13.0431         385.488               0               0                1
        230.755               0         151.515               0               0                1
        557.043         15.2019         537.169               0               0                1
        190.453         33.1382         138.213               0               0                1
          397.9         15.3158         379.162               0               0                1
        391.729         11.3601         374.187               0               0                1
        228.819         26.1665         149.229               0               0                1
        242.878         16.1322         223.701               0               0                1
        308.686         14.8409         289.656               0               0                1
        260.213               0         232.316               0               0                1
        159.241         24.1042         131.709               0               0                1
        341.521           11.51         325.958               0               0                1
        87.8722               0         23.7714               0               0                1
        409.942         13.1003         395.476               0               0                1
        313.617         25.8564         238.665               0               0                1
         106.05               0         44.7286               0               0                1
        133.913         43.8322         45.3606               0               0                1
        161.112         20.5122         133.864               0               0                1
        223.313         19.0723         198.834               0               0                1
        264.479         16.9906         233.093               0               0                1
        217.889          20.359         194.447               0               0                1
        174.122         25.7386         139.694               0               0                1
        215.423               0         147.975               0               0                1
        309.589         19.3046         288.218               0               0                1
        120.212               0         54.5877               0               0                1
        378.582         15.3181         172.187               0               0                1
        441.965               0          424.18               0               0                1
        135.735         36.4396         94.5919               0               0                1
         98.609               0         7.00725               0               0                1
        259.689          17.641         239.152               0               0                1
        106.814               0         83.7145               0               0                1
        198.555               0         90.9069               0               0                1
        226.893         20.1679         201.877               0               0                1
        146.497         27.1561         112.214               0               0                1
        473.878         8.24114         462.352               0               0                1
        138.512          73.745         39.2513               0               0                1
        178.155         30.1829         133.406               0               0                1
        258.899         28.9517         227.057               0               0                1
        141.468         71.2133         54.7446               0               0                1
        404.773         11.1267         391.677               0               0                1
        85.8574               0         17.7381               0               0                1
        303.201          32.109         264.525               0               0                1
        251.485               0         169.479               0               0                1
        208.602               0         194.668               0               0                1
        184.486         28.1028           127.6               0               0                1
        468.379               0         453.143               0               0                1
        276.845         13.5939         260.761               0               0                1
        274.576         44.3462         227.067               0               0                1
        121.401               0         30.2773               0               0                1
        160.079         19.4232         112.647               0               0                1
        279.856         27.7372          241.09               0               0                1
        234.748         19.1177         213.326               0               0                1
        145.417         26.1613         116.366               0               0                1
        107.572               0         66.3753               0               0                1
        529.046          12.757         444.228         69.8538               0                1
        244.859         18.9068         219.666               0               0                1
        448.628               0         440.968               0               0                1
        222.375          26.534         149.137               0               0                1
          261.9         49.7857         198.363               0               0                1
        252.502               0         239.943               0               0                1
        533.049         31.2158         90.0638               0               0                1
         294.78         10.5227         280.745               0               0                1
        309.761         40.6333         62.9869               0               0                1
        114.421         26.9049         81.1242               0               0                1
        1118.72         27.4356         411.432               0               0                1
        200.381               0         142.338               0               0                1
        153.164         38.7247         21.1342               0               0                1
         287.27         12.7664         269.905               0               0                1
        158.339         16.2859         1.97493               0               0                1
        391.044         23.1403         328.145               0               0                1
        639.832               0         237.471               0               0                1
        285.174          15.001         267.157               0               0                1
        485.668         13.5226           467.8               0               0                1
        144.692               0         19.9347               0               0                1
        232.423               0         190.164               0               0                1
         160.15               0         137.428               0               0                1
