         E0,keV         dE,det1         dE,det2         dE,det3         dE,det4              CF 
        191.976         16.4205         171.853               0               0                1
        155.437               0         134.129               0               0                1
        617.351         21.1052         450.042               0               0                1
        130.824         34.1005         90.3489               0               0                1
        381.148         9.07229         369.096               0               0                1
        135.727          37.002         91.2534               0               0                1
        392.439         19.0789         370.083               0               0                1
        596.709               0         273.351         312.875               0                1
        95.8061               0         19.5737               0               0                1
        430.937         13.4907          414.97               0               0                1
        159.237         39.9125         113.903               0               0                1
         1047.4         12.8605         158.069               0               0                1
        192.483               0         164.348               0               0                1
        894.472               0         176.234         710.492               0                1
        2496.85         13.3769         123.282         2358.23               0                1
        163.871         72.6094         72.8092               0               0                1
         1996.8               0         141.219          1848.2               0                1
        238.746               0         15.2453               0               0                1
        295.568         117.339         19.3829        0.790919               0                1
        111.217               0         83.5148               0               0                1
        119.258               0          16.039               0               0                1
        394.175         17.6188          372.97               0               0                1
        238.543               0         220.896               0               0                1
        287.723               0         277.987               0               0                1
        180.259         37.6531         137.598               0               0                1
        148.343         45.7391         81.3457               0               0                1
        829.227         14.4829         189.964          621.17               0                1
         195.36         30.8425         160.754               0               0                1
        720.519         9.54421         708.387               0               0                1
        264.355         37.7601         214.875               0               0                1
        228.476               0         213.015               0               0                1
        652.664         17.6995         294.515               0               0                1
        227.271         45.0932         179.167               0               0                1
        177.471         19.6068         32.6158               0               0                1
        143.063         31.1622         92.9826               0               0                1
        134.523               0         83.8406               0               0                1
        323.039         15.5127         300.977               0               0                1
        1204.75               0         143.493         1051.29               0                1
        200.996         52.2215         145.936               0               0                1
        155.051         27.3164         122.288               0               0                1
         1562.9               0          174.37         337.473               0                1
        975.792               0         359.308               0               0                1
        240.205          38.849         142.471               0               0                1
        360.792          11.373         346.543               0               0                1
        836.851         11.0144         266.425         556.134               0                1
        902.795         22.1746         256.232               0               0                1
        140.327         17.4499         22.8869               0               0                1
        165.087         35.2462         112.433               0               0                1
        153.232         34.1217         98.6469               0               0                1
        123.284         33.4085         78.7643               0               0                1
         90.667               0         31.9201               0               0                1
        211.034               0         107.837               0               0                1
        2038.62               0         1.05544               0               0                0
        240.906         20.4886         213.314               0               0                1
        245.086         27.1841         215.046               0               0                1
         208.06         14.9211           188.2               0               0                1
        624.556               0         515.832               0               0                1
        181.097         26.3735         132.252               0               0                1
        248.159         16.4209         225.999               0               0                1
        953.109         16.8068         637.128         293.779               0                1
          104.3               0         26.3941               0               0                1
         123.83         93.1941         19.3425               0               0                1
        306.986         20.1561         282.127               0               0                1
        244.434               0          229.36               0               0                1
        2953.58               0         201.692         2739.26               0                1
        127.971               0         113.425               0               0                1
        593.954         12.6154         575.394               0               0                1
        783.285         11.2042         193.703         573.202               0                1
          842.6         24.5718         168.274         477.696               0                1
        154.516         32.5881         118.764               0               0                1
        527.851         8.79095         166.831         120.761               0                1
        318.344         14.9186         250.816               0               0                1
        491.687               0         480.383               0               0                1
        213.737         17.3804         190.599               0               0                1
         134.04          73.849         47.4258               0               0                1
        230.408               0         211.373               0               0                1
        155.631               0         136.647               0               0                1
        256.056         16.7907         230.701               0               0                1
        82.2076               0         39.4493               0               0                1
        440.176         9.75772         426.892               0               0                1
        261.269               0         247.877               0               0                1
        593.918           17.77         281.909         15.4976               0                1
        243.558         18.8244         119.538               0               0                1
        239.418               0         228.022               0               0                1
        123.939               0         20.4787               0               0                1
        2508.08         11.4125         239.052         2018.71               0                1
        228.058               0         213.111               0               0                1
        300.095         32.8556         262.153               0               0                1
        591.156         21.5132         403.334               0               0                1
        169.714               0         123.276               0               0                1
        153.745         73.8975         66.7997               0               0                1
        912.709         13.0016         356.293         81.7683               0                1
        511.417         12.1987         326.585         27.4561               0                1
        367.826         24.0277         341.516               0               0                1
         249.93         16.1642         228.216               0               0                1
        121.024               0         31.6517               0               0                1
        116.602               0         40.2711               0               0                1
        148.123               0         128.905               0               0                1
        95.5348               0         23.1777               0               0                1
        271.985         15.6702         253.632               0               0                1
        367.809         13.1538         168.348               0               0                1
         588.28         16.2514         292.242               0               0                1
        714.643               0         237.799         467.452               0                1
         104.22               0         76.9635               0               0                1
        273.411               0         261.036               0               0                1
        603.357         13.5871         206.421         378.983               0                1
        116.574         38.5791         63.9441               0               0                1
        313.736               0         302.262               0               0                1
        168.913         31.4763         134.615               0               0                1
        528.898               0          51.565               0               0                1
        108.592               0          49.737               0               0                1
        581.654         58.7126         89.1399               0               0                1
        700.022         34.9414         308.991               0               0                1
        105.971         48.9292          40.096               0               0                1
        2465.29         64.6708         165.625         1652.85               0                1
        327.161          19.281         302.227               0               0                1
        967.143         24.9019         642.019               0               0                1
        801.144               0         145.472         21.9919               0                1
        861.934               0         354.633         104.367               0                1
        298.023               0         39.2819               0               0                1
        134.887         30.4418         99.8149               0               0                1
        301.962         16.1216         281.702               0               0                1
        179.754         18.1872         15.6773               0               0                1
        121.054               0         99.1545               0               0                1
        121.106         36.7494         69.9862               0               0                1
        435.406         14.7731         418.783               0               0                1
        737.434         21.8576         287.405               0               0                1
        199.714         27.8185         141.044               0               0                1
        398.493         11.4943         383.971               0               0                1
        430.654         18.5632         405.402               0               0                1
        301.412         26.5883         270.392               0               0                1
        449.513         21.6222         189.873               0               0                1
        300.743               0         287.652               0               0                1
        322.009         22.1968         285.802               0               0                1
        514.529         22.2925         490.637               0               0                1
        294.642          30.189          246.17               0               0                1
         1993.4         20.1693         356.378         314.092               0                1
        279.347         16.6898         257.619               0               0                1
        2398.86          8.0339         425.096         1698.79               0                1
        877.908               0         167.201         700.016               0                1
        402.952         14.2955         383.991               0               0                1
        1781.16               0          6.4488         50.3377               0                0
        265.889               0         2.22477               0               0                1
        486.364         104.466         2.15703         11.1208               0                1
        311.636               0         119.473               0               0                1
        951.512         8.28416         574.863         366.544               0                1
