         E0,keV         dE,det1         dE,det2         dE,det3         dE,det4              CF          ang_z  
        663.517         9.29541         215.395         436.025               0                1          12.9469
        141.918         19.7026         115.197               0               0                1          21.0357
         217.08         106.348          29.843               0               0                1          20.6227
        405.594         12.9861         374.868               0               0                1          10.2656
        271.361         23.5308         242.192               0               0                1          25.7939
        191.167         16.8319           154.3               0               0                1          13.9603
        459.867         9.76707         447.064               0               0                1          13.5899
         273.76         15.3292         92.1357               0               0                1          23.6996
        213.392         20.4601         129.216               0               0                1          16.3277
        493.566         31.1837         458.986               0               0                1          14.6481
         230.38          16.294         209.263               0               0                1          29.5278
        1200.38         22.3993         452.409               0               0                1           13.999
        666.156         11.7216         11.9807               0               0                1          22.4005
        616.679         13.4578         542.456               0               0                1          19.3364
        594.282          8.9597         483.708               0               0                1          26.1273
        3055.17         13.8218         159.836         2876.91               0                1          9.14913
        326.868         19.6811          302.79               0               0                1          11.9472
        751.993          7.4076         206.844               0               0                1          16.1448
         779.73         7.19684         545.927               0               0                1          22.8594
        142.366         36.0134         59.2476               0               0                1          14.6299
         456.44               0         13.4093               0               0                0          35.6364
        135.025         30.1655         92.3292               0               0                1          7.50102
         594.05         11.1241          576.55               0               0                1          4.05379
         165.42         31.3121         53.1734               0               0                1          52.4085
        194.835         17.3393         172.178               0               0                1          16.9976
        230.229         77.0659          34.717               0               0                1          23.0059
        415.531         8.13608         376.375               0               0                1          16.4093
        542.862         7.73539         495.248               0               0                1          26.6473
        261.825          24.828         115.142               0               0                1          23.8491
        2683.48               0         162.848         1930.86               0                1          3.41146
         552.78               0         292.517               0               0                1          19.6415
        1150.84         9.89722          295.47          824.55               0                1          16.2102
        379.591         13.0291         68.7394               0               0                1          28.0721
        330.612         16.6414         114.299               0               0                1          23.6206
        259.162          13.475         121.028               0               0                1          8.93176
        465.216         10.5234         406.116               0               0                1          5.45029
        150.628         23.4776         107.905               0               0                1          28.2976
        823.595         7.17362         180.002               0               0                1          14.7227
        1008.91         6.08384         185.767               0               0                1          19.5035
        347.647          9.7785         318.297               0               0                1          7.53869
        558.116         14.1776         364.599               0               0                1          5.99252
        259.318         59.0186         167.627               0               0                1          10.0191
        896.299         18.8814          384.49               0               0                1          23.0481
        1763.48         11.8804         201.044               0               0                1          9.70228
        336.462         28.1411         155.371               0               0                1          4.84028
        558.849         11.2567         431.093               0               0                1          19.9793
        229.399          64.653         17.9416               0               0                1          41.6248
        1124.05         8.12211         369.567         743.467               0                1           1.0197
        506.015         7.31346         260.309               0               0                1          11.0272
        756.291         8.60097         291.671               0               0                1          15.5706
        654.349          8.7468         199.992               0               0                1          8.39537
        797.726         7.14453         166.365               0               0                1          20.1228
         364.92         7.75635         352.477               0               0                1          7.87546
        588.348         11.4413         266.703               0               0                1          41.9243
        407.163         14.9172          290.43               0               0                1          8.00943
        527.991         9.88321         504.194         9.99168               0                1          9.42764
        228.996         15.2807         78.8633               0               0                1          10.9397
        794.483         7.33323         36.4002               0               0                1          8.07799
        176.009         17.0629         151.637               0               0                1          14.4189
        213.151         26.8814         103.752               0               0                1          18.4875
        108.003         24.6883         76.2523               0               0                1          6.31798
        384.214         6.14256         344.801               0               0                1          17.6158
        201.867         39.1205          150.93               0               0                1           28.532
        312.028         19.6354         54.7674               0               0                1          5.55229
        163.391         21.4168         55.0221               0               0                1          19.6946
        382.068         10.5785         365.083               0               0                1          15.9845
        312.702         59.1238         82.6246               0               0                1          14.0949
        495.191          8.2439         482.207               0               0                1          15.2757
        236.881         36.6453         85.8163               0               0                1          8.01535
        477.357         16.1195         395.126               0               0                1          18.7695
        232.767          15.137         201.409               0               0                1          15.0671
        489.696         7.60048         462.442               0               0                1          23.8533
        420.077         11.9958         359.079               0               0                1          23.9985
        756.376         13.1986         486.163               0               0                1           8.9108
        201.149         74.3476          115.66               0               0                1          17.6521
        513.885         6.32204         373.248               0               0                1          7.07671
        286.245         11.5606         240.332               0               0                1          5.91729
        310.551         8.45533         297.594               0               0                1           1.6464
        498.219         14.0027          318.61               0               0                1          21.5418
        470.226         17.1744         313.731         132.787               0                1          17.1134
        671.968         7.39977         212.669         447.671               0                1          15.9958
        1445.55         6.65703         262.238         1031.44               0                1           6.3938
        830.265         4.73894          820.57               0               0                1          24.5767
        198.355         14.5261         174.672               0               0                1          9.68739
        227.352         14.6465         199.864               0               0                1            15.65
        348.927         27.6934         95.9893               0               0                1          26.9939
         586.92         9.93488         574.217               0               0                1          9.99554
        190.494         37.2035         59.9658               0               0                1          33.6649
        507.051         9.53996         259.468               0               0                1          17.0225
        292.133          24.423         170.626               0               0                1           22.729
        438.539         19.2384         280.867               0               0                1          23.3852
        2121.43         22.1891         97.9725               0               0                1          45.8607
        125.798         29.3769         80.6792               0               0                1          28.4735
        776.056          10.484         118.198         604.542               0                1          18.0711
          275.3         11.1538         228.131               0               0                1          23.1724
        287.114          17.375         178.642               0               0                1          21.1584
        2115.47         13.6328          165.83         1203.81               0                1          19.1259
        434.496         16.3237         404.452               0               0                1          25.0155
        709.564          8.6023         181.418         517.152               0                1          4.72935
        225.356         18.6128         186.456               0               0                1          8.80566
        131.123         91.6692          3.9721               0               0                1          15.2823
        403.233         10.4617         380.417               0               0                1          7.59127
        154.091         30.1928         116.549               0               0                1          11.7043
         114.04         29.4618         76.5285               0               0                1          4.32755
        246.841         30.1413         193.127               0               0                1          20.7929
        143.669         21.9492         114.613               0               0                1          2.81173
        343.026         15.6494         285.298               0               0                1          13.0755
        191.767         27.7482         5.51387               0               0                1          21.9534
         293.58         8.24659         88.8652               0               0                1          12.0966
        177.936         18.3067         87.8365               0               0                1           8.7714
        874.145         12.7055         47.4101         655.863               0                1          5.90672
        348.301         13.0778         279.159               0               0                1          11.1078
        149.539         17.4276          73.496               0               0                1          52.0188
        119.647         26.3557         19.6701               0               0                1          14.3354
        1383.63         6.40898         346.218         1026.32               0                1          18.4398
        1508.01         9.76008         158.098         1338.55               0                1          14.1779
        197.481         17.2604         172.135               0               0                1          18.6767
        837.862         7.76434         225.282               0               0                1          7.22883
        2162.04               0         187.892         727.127               0                1          24.9713
        1761.36         9.30667         141.728            1607               0                1          11.6582
        916.398         9.88365         195.031         212.982               0                1          12.0081
        230.126         11.9457         201.617               0               0                1          14.3802
        1644.42               0         211.646         646.592               0                1          15.0889
         119.57         38.0854         67.6501               0               0                1          19.6139
        187.968         15.4478         78.1492               0               0                1          14.5156
        274.983         12.2712         200.725               0               0                1          17.1307
        406.468         12.1647         356.222               0               0                1          11.0936
        442.095         8.68373         222.197               0               0                1          18.7617
         550.84         16.3994         434.657               0               0                1          18.9979
        331.287          12.142           305.8               0               0                1          9.33773
        289.102         9.73205         276.622               0               0                1          7.78298
        482.269         17.1512          242.14               0               0                1          15.0224
         517.88         12.1859         470.399               0               0                1          12.3245
        288.537         15.2579         174.244               0               0                1          8.19768
         1386.2         14.4097         243.681         967.843               0                1          12.5351
        508.889               0         312.622               0               0                1           27.441
        189.431         20.3935         165.698               0               0                1          13.7788
        419.448         9.19868         261.207               0               0                1          4.95355
        392.326          88.864           49.65               0               0                1          11.5305
        582.535         7.55336         569.001               0               0                1          6.73247
        481.423         10.3579         398.308               0               0                1          8.74126
         456.99         13.9504         398.174               0               0                1          12.6809
        2625.61          10.733         236.941         2369.08               0                1          8.24543
        638.943               0         475.881               0               0                1          20.0397
        718.469         5.77136         209.125               0               0                1          10.8713
        265.466         22.2283         49.2426               0               0                1           12.565
        252.529         14.1627         232.679               0               0                1          26.0482
        316.206         7.67995         306.375               0               0                1          12.4019
        279.499         16.3481         254.913               0               0                1           7.0604
        719.701         15.3828          192.76               0               0                1          1.48408
        295.688         15.5541         222.407               0               0                1          10.0809
        1425.83         10.1193         163.222               0               0                1          12.3638
        2986.21               0         149.073         2156.76               0                1           12.978
        267.122         19.5294         159.908               0               0                1          10.0546
        374.989         9.25953         358.339               0               0                1           6.0659
        713.901         11.0353         174.412               0               0                1          17.6651
        185.858         26.8235         133.319               0               0                1          10.1047
        439.813         32.7263         127.488               0               0                1          7.50398
        275.185         13.3708         152.078               0               0                1          60.6959
        395.693         26.1444          363.14               0               0                1          5.60048
        110.527         66.8047         12.9483               0               0                1            14.94
        281.035         14.1654         237.989               0               0                1          14.9012
        240.429         12.1748         205.928               0               0                1          16.9133
        523.412         9.99343         104.412               0               0                1          3.08807
         168.48               0         152.373               0               0                1           21.435
        178.432         17.2793          134.55               0               0                1          12.5476
        129.216         26.3159         93.2537               0               0                1          10.4873
         281.59          28.544         30.8145               0               0                1          14.1461
         264.81         11.3357         190.498               0               0                1          15.3236
        1407.04         7.64635         151.724         1245.45               0                1          14.4871
        566.103          13.577         23.7436               0               0                1          12.9997
        278.407         22.3796          138.91               0               0                1          27.1294
        2672.77         11.6126         381.399               0               0                1          19.5643
        541.115         9.15496         215.372               0               0                1          18.4655
        1213.91         6.86985          164.56         851.298               0                1          9.46246
        673.665         14.2921         81.6331               0               0                1          28.0664
        415.103         10.1754          398.07               0               0                1          16.3213
         1395.9         15.5406         150.832            1225               0                1          3.85743
        673.501         12.4882          192.34          432.11               0                1           23.451
        311.612         15.0512         65.2953               0               0                1          19.4546
        159.979         34.7817         119.642               0               0                1           8.9706
        145.322         27.4968         113.342               0               0                1          9.82449
        460.378         11.5882         201.595               0               0                1          15.2007
         236.76         20.3892         9.92253               0               0                1          21.3445
        484.185         9.60934         468.916               0               0                1          17.9341
        316.713         33.1381         192.931               0               0                1          27.1267
        232.314         11.8974         214.734               0               0                1          7.22918
        195.239         53.2396         20.9131               0               0                1          35.9955
        122.072         28.2655         37.2009               0               0                1          15.3633
        232.583         16.1954         196.641               0               0                1          3.36008
        562.067         7.65364         250.782         278.539               0                1          21.4328
        175.191         46.6178         57.6707               0               0                1          38.8792
        661.025         9.53216         215.559         395.255               0                1          6.47037
        155.039         16.0743         115.183               0               0                1          24.7662
        441.612         13.6581         16.5411               0               0                1          14.4216
        137.284         17.8924         106.396               0               0                1          7.83446
        393.035         26.8503         361.805               0               0                1          23.3929
         141.02         12.1037         119.302               0               0                1          16.4956
         232.31         14.6287         76.0305               0               0                1          21.7797
